clip_name,clip_path,label
v_BreastStroke_g21_c02,/train/BreastStroke/v_BreastStroke_g21_c02.avi,BreastStroke
v_BreastStroke_g21_c04,/train/BreastStroke/v_BreastStroke_g21_c04.avi,BreastStroke
v_BreastStroke_g22_c02,/train/BreastStroke/v_BreastStroke_g22_c02.avi,BreastStroke
v_BreastStroke_g18_c03,/train/BreastStroke/v_BreastStroke_g18_c03.avi,BreastStroke
v_BreastStroke_g11_c03,/train/BreastStroke/v_BreastStroke_g11_c03.avi,BreastStroke
v_BreastStroke_g06_c03,/train/BreastStroke/v_BreastStroke_g06_c03.avi,BreastStroke
v_BreastStroke_g11_c04,/train/BreastStroke/v_BreastStroke_g11_c04.avi,BreastStroke
v_BreastStroke_g15_c04,/train/BreastStroke/v_BreastStroke_g15_c04.avi,BreastStroke
v_BreastStroke_g14_c04,/train/BreastStroke/v_BreastStroke_g14_c04.avi,BreastStroke
v_BreastStroke_g02_c04,/train/BreastStroke/v_BreastStroke_g02_c04.avi,BreastStroke
v_BreastStroke_g12_c03,/train/BreastStroke/v_BreastStroke_g12_c03.avi,BreastStroke
v_BreastStroke_g10_c04,/train/BreastStroke/v_BreastStroke_g10_c04.avi,BreastStroke
v_BreastStroke_g14_c02,/train/BreastStroke/v_BreastStroke_g14_c02.avi,BreastStroke
v_BreastStroke_g16_c03,/train/BreastStroke/v_BreastStroke_g16_c03.avi,BreastStroke
v_BreastStroke_g25_c04,/train/BreastStroke/v_BreastStroke_g25_c04.avi,BreastStroke
v_BreastStroke_g23_c04,/train/BreastStroke/v_BreastStroke_g23_c04.avi,BreastStroke
v_BreastStroke_g09_c03,/train/BreastStroke/v_BreastStroke_g09_c03.avi,BreastStroke
v_BreastStroke_g16_c01,/train/BreastStroke/v_BreastStroke_g16_c01.avi,BreastStroke
v_BreastStroke_g07_c01,/train/BreastStroke/v_BreastStroke_g07_c01.avi,BreastStroke
v_BreastStroke_g20_c02,/train/BreastStroke/v_BreastStroke_g20_c02.avi,BreastStroke
v_BreastStroke_g05_c03,/train/BreastStroke/v_BreastStroke_g05_c03.avi,BreastStroke
v_BreastStroke_g24_c03,/train/BreastStroke/v_BreastStroke_g24_c03.avi,BreastStroke
v_BreastStroke_g18_c05,/train/BreastStroke/v_BreastStroke_g18_c05.avi,BreastStroke
v_BreastStroke_g21_c03,/train/BreastStroke/v_BreastStroke_g21_c03.avi,BreastStroke
v_BreastStroke_g17_c02,/train/BreastStroke/v_BreastStroke_g17_c02.avi,BreastStroke
v_BreastStroke_g06_c04,/train/BreastStroke/v_BreastStroke_g06_c04.avi,BreastStroke
v_BreastStroke_g25_c01,/train/BreastStroke/v_BreastStroke_g25_c01.avi,BreastStroke
v_BreastStroke_g03_c01,/train/BreastStroke/v_BreastStroke_g03_c01.avi,BreastStroke
v_BreastStroke_g02_c03,/train/BreastStroke/v_BreastStroke_g02_c03.avi,BreastStroke
v_BreastStroke_g18_c04,/train/BreastStroke/v_BreastStroke_g18_c04.avi,BreastStroke
v_BreastStroke_g06_c01,/train/BreastStroke/v_BreastStroke_g06_c01.avi,BreastStroke
v_BreastStroke_g03_c02,/train/BreastStroke/v_BreastStroke_g03_c02.avi,BreastStroke
v_BreastStroke_g22_c03,/train/BreastStroke/v_BreastStroke_g22_c03.avi,BreastStroke
v_BreastStroke_g05_c04,/train/BreastStroke/v_BreastStroke_g05_c04.avi,BreastStroke
v_BreastStroke_g05_c02,/train/BreastStroke/v_BreastStroke_g05_c02.avi,BreastStroke
v_BreastStroke_g08_c02,/train/BreastStroke/v_BreastStroke_g08_c02.avi,BreastStroke
v_BreastStroke_g04_c04,/train/BreastStroke/v_BreastStroke_g04_c04.avi,BreastStroke
